idade_gestacional,valor,percentil
14,74.2,2.5
15,73.7 ,2.5
16,73.2 ,2.5
17,72.8 ,2.5
18,72.4 ,2.5
19,72.1 ,2.5
20,71.8 ,2.5
21,71.5 ,2.5
22,69.7 ,2.5
23,69.7 ,2.5
24,69.7 ,2.5
25,69.7 ,2.5
26,69.7 ,2.5
27,69.7 ,2.5
28,69.7 ,2.5
29,69.7 ,2.5
30,69.7 ,2.5
31,69.7 ,2.5
32,69.7 ,2.5
33,69.7 ,2.5
34,69.7 ,2.5
35,69.7 ,2.5
36,69.7 ,2.5
37,69.7 ,2.5
38,69.7 ,2.5
39,69.7 ,2.5
40,69.7 ,2.5
14,81.5 ,50
15,81.0 ,50
16,80.5 ,50
17,80.1 ,50
18,79.7 ,50
19,79.4 ,50
20,79.1 ,50
21,78.8 ,50
22,78.3 ,50
23,78.3 ,50
24,78.3 ,50
25,78.3 ,50
26,78.3 ,50
27,78.3 ,50
28,78.3 ,50
29,78.3 ,50
30,78.3 ,50
31,78.3 ,50
32,78.3 ,50
33,78.3 ,50
34,78.3 ,50
35,78.3 ,50
36,78.3 ,50
37,78.3 ,50
38,78.3 ,50
39,78.3 ,50
40,78.3 ,50
14,88.8,97.5
15,88.3,97.5
16,87.8,97.5
17,87.4,97.5
18,87.0,97.5
19,86.7,97.5
20,86.4,97.5
21,86.1,97.5
22,86.9,97.5
23,86.9,97.5
24,86.9,97.5
25,86.9,97.5
26,86.9,97.5
27,86.9,97.5
28,86.9,97.5
29,86.9,97.5
30,86.9,97.5
31,86.9,97.5
32,86.9,97.5
33,86.9,97.5
34,86.9,97.5
35,86.9,97.5
36,86.9,97.5
37,86.9,97.5
38,86.9,97.5
39,86.9,97.5
40,86.9,97.5
