idade_gestacional,,percentil
14,1.9,5
15,2.1,5
16,2.4,5
17,2.6,5
18,2.8,5
19,3.1,5
20,3.3,5
21,3.5,5
22,3.7,5
23,3.9,5
24,4.1,5
25,4.3,5
26,4.4,5
27,4.6,5
28,4.7,5
29,4.9,5
30,5.0,5
31,5.1,5
32,5.2,5
33,5.3,5
34,5.3,5
35,5.4,5
36,5.4,5
37,5.4,5
38,5.5,5
39,5.5,5
14,3.5,50
15,3.8,50
16,4.1,50
17,4.3,50
18,4.6,50
19,4.9,50
20,5.1,50
21,5.4,50
22,5.6,50
23,5.8,50
24,6.0,50
25,6.2,50
26,6.4,50
27,6.6,50
28,6.8,50
29,6.9,50
30,7.0,50
31,7.2,50
32,7.3,50
33,7.4,50
34,7.5,50
35,7.5,50
36,7.6,50
37,7.6,50
38,7.6,50
39,7.6,50
14,5.3,95
15,5.7,95
16,6.0,95
17,6.3,95
18,6.6,95
19,6.9,95
20,7.2,95
21,7.5,95
22,7.7,95
23,8.0,95
24,8.2,95
25,8.5,95
26,8.7,95
27,8.9,95
28,9.1,95
29,9.3,95
30,9.4,95
31,9.6,95
32,9.7,95
33,9.8,95
34,9.9,95
35,10.0,95
36,10.0,95
37,10.1,95
38,10.1,95
39,10.1,95
